PART_CODE,SAP Material name,Local Material Code,Unit,Discount Category,Dangerous goods,Order permission,Order type,Selling price,Suggested retail price,Warranty Parts Price,Single vehicle consumption,SAP Material No.,SAP Material Name,Manual code,Customs code,Vehicle series,Scope of services,Minimum packing quantity,Volume,Region,Whether it is Auxiliary material,Whether it is Included in the ordering target of spare parts and supplies,Whether the allowance for spare parts is included,Whether it is Maintenance part,Whether there is a commission,Model description,Whether there is allowance for sheet metal spraying,Covering parts for sheet metal spraying or not,Spare parts category,Spare parts type,Code of replace,Post-Package weight,Packaging specifications,Whether to trace,Whether it is In short supply,Whether retail,Expediting coefficient,Whether it is A Self-made part,Whether it is Included in turnover assessment,Remarks,Planner,Whether it is The first maintenance,Pre-approval or not,Maximum number of orders,Classification of accessories,Accessories type,Minimum number of applications,Scheduled days,Department,Production cycle,Highest inventory,Arrival warning,Minimum purchase quantity,Special for after-sales,The sales store cannot order,Whether the repair paint is certified by the original manufacturer,Special for new energy,Online sales price,Employee price,Department price,Marketing script,Product description,Warehouse area,Pictures,Type of claim,length width height,Warranty period,Coefficient of sheet metal and spray parts,Whether it is Publicized,Material abbreviation,Whether the motor number is filled in,Is it oil,Oil type,Capacity (l),Planner Email,Small Amount Order Pricing Ratio,Whether the material is authorised,Country of origin,NOM Certification,Creation date
SC026,"Suspension Components (Shocks, Struts)",LOC-4827,EA,B,Y,Restricted,Urgent,336.82,370.5,303.14,2.0,MAT-807950,"Suspension Components (Shocks, Struts)",MAN-4372,CUS-518742,SUV,Partial,10.0,8.34,Europe,N,N,N,Y,N,Model-6576,N,Y,Category A,Type 1,REP-5314,5.98,79x14x25,N,Y,N,1.35,Y,Y,Totam sed eos fuga quibusdam ab. Architecto blanditiis culpa officia sequi tenetur.,Dr. Lorenzo Vieira,N,N,70.0,Class B,Type A,2.0,5.0,Dept B,26.0,93.0,Y,6.0,N,Y,Y,Y,465.66,43.42,322.99,"Vitae eaque tempore. Dolorem eos rerum occaecati dolorem repellat sit. Quam tenetur doloribus adipisci.
Eius perspiciatis ipsam architecto. Ipsum necessitatibus consectetur distinctio.","Eum praesentium odio sint. Quisquam debitis accusantium illo. Vero non at eum architecto officia quasi.
Nesciunt perspiciatis amet debitis. Beatae optio voluptatibus ab magnam rerum ab.",Area 3,https://picsum.photos/606/466,Type C,65x79x50,45.0,0.17,Y,MAT-1476,N,N,Type 1,4.04,nathan89@example.com,0.25,Y,Germany,Y,2024-07-13
CA027,Control Arms,LOC-3607,SET,B,Y,Restricted,Standard,205.72,226.29,185.15,5.0,MAT-103209,Control Arms,MAN-8053,CUS-318069,SUV,Partial,1.0,5.79,North America,Y,Y,N,N,Y,Model-3457,Y,Y,Category A,Type 3,REP-1037,0.51,22x66x60,N,Y,N,0.36,Y,N,Quo voluptatem optio perferendis minus dignissimos blanditiis. Molestias ipsum ducimus ratione.,Amanda Fonseca,N,N,94.0,Class C,Type C,7.0,7.0,Dept A,54.0,101.0,N,1.0,Y,N,N,Y,122.51,370.39,347.84,Beatae alias tenetur praesentium a animi iste. Provident eius quod tempora inventore dolor in.,"Quaerat incidunt illo veritatis officia dolores sit. Blanditiis assumenda rerum. Ducimus maiores nobis quod non.
Dolorum tempore facilis alias tempora. Corporis et tempora dignissimos doloremque.",Area 3,https://picsum.photos/977/360,Type A,18x29x92,18.0,0.68,Y,MAT-7409,Y,N,Type 2,13.51,agathapimenta@example.org,0.83,N,Germany,Y,2024-03-02
TRE028,Tie Rod Ends,LOC-1476,EA,A,Y,Allowed,Standard,374.29,411.72,336.86,5.0,MAT-394023,Tie Rod Ends,MAN-2504,CUS-654383,Sedan,Partial,5.0,1.88,Europe,Y,N,N,Y,Y,Model-7400,N,Y,Category C,Type 1,REP-1085,14.36,21x22x67,Y,Y,N,1.46,Y,Y,Doloribus soluta ratione explicabo inventore rerum. Animi minima nulla natus.,Luigi Câmara,N,N,60.0,Class B,Type A,8.0,2.0,Dept B,9.0,216.0,N,2.0,N,N,Y,N,130.41,397.3,185.1,Sint porro pariatur placeat nemo ipsum corrupti. Modi veniam explicabo illo consectetur labore reiciendis. Natus voluptas omnis sint quidem ipsa.,Minima mollitia esse repudiandae deleniti molestiae. Atque exercitationem doloremque sunt reiciendis. Enim rem totam velit voluptatum aut mollitia aspernatur.,Area 1,https://picsum.photos/940/913,Type B,100x81x69,40.0,1.07,Y,MAT-9916,Y,Y,Type 2,4.2,beniciocassiano@example.net,1.72,N,Sweden,Y,2024-07-01
CVJ029,CV Joints,LOC-1652,EA,A,Y,Restricted,Urgent,491.22,540.34,442.1,4.0,MAT-402089,CV Joints,MAN-1083,CUS-376479,EV,Full,4.0,1.59,Asia,Y,Y,N,N,Y,Model-8318,Y,Y,Category C,Type 1,REP-3506,2.07,18x90x73,Y,Y,Y,0.14,Y,Y,Quis molestias magnam excepturi nobis pariatur. Nihil ex dolorum asperiores sit dignissimos.,Pietro Silveira,Y,N,2.0,Class A,Type C,5.0,30.0,Dept B,85.0,229.0,Y,4.0,Y,N,Y,N,62.0,247.29,446.77,"Repellat aliquam quas aliquam quisquam expedita. Consequatur eos qui quaerat accusantium possimus.
Laboriosam ad similique iure doloribus error labore fuga. Minus quas nostrum ex.",Recusandae minima id perspiciatis distinctio numquam nesciunt. Vel placeat accusamus beatae alias. Ipsam ducimus tempora fugit quo.,Area 2,https://picsum.photos/361/718,Type A,37x60x32,54.0,1.79,Y,MAT-6905,N,Y,Type 1,12.52,vmachado@example.com,1.27,Y,Sweden,Y,2024-07-01
AX030,Axles,LOC-2796,SET,B,Y,Allowed,Urgent,116.98,128.68,105.28,1.0,MAT-198611,Axles,MAN-1414,CUS-137741,SUV,Partial,3.0,2.19,North America,N,Y,N,N,Y,Model-2952,Y,Y,Category B,Type 1,REP-9330,9.24,83x94x64,N,Y,N,1.92,N,Y,Aliquam repellat vero. Maxime ipsam culpa eveniet exercitationem reiciendis.,Gustavo Nascimento,Y,N,94.0,Class C,Type A,2.0,21.0,Dept C,31.0,122.0,Y,5.0,Y,Y,N,N,44.23,159.39,313.94,"Ducimus eaque blanditiis. At similique illo vitae molestiae.
Quam labore itaque nam architecto. Ex iure autem quaerat doloremque explicabo quibusdam.",Ipsa excepturi distinctio ipsum necessitatibus dolores. Nihil nisi nisi similique voluptatem odio. Cumque numquam enim qui ex quidem hic.,Area 2,https://dummyimage.com/557x986,Type B,31x59x65,5.0,1.05,Y,MAT-7418,N,Y,Type 1,3.3,ferreiraasafe@example.org,0.6,Y,China,Y,2024-02-09
CL031,Coolant (for thermal management),LOC-8196,EA,C,Y,Restricted,Urgent,136.13,149.74,122.52,5.0,MAT-339206,Coolant (for thermal management),MAN-7135,CUS-170629,EV,Partial,8.0,3.97,North America,Y,Y,Y,Y,Y,Model-9833,N,Y,Category C,Type 2,REP-1948,14.94,46x38x16,Y,N,Y,1.41,Y,Y,Ullam at nisi alias et rerum. Corrupti perspiciatis laboriosam quis.,Mirella da Rosa,Y,N,12.0,Class A,Type B,3.0,5.0,Dept A,79.0,101.0,Y,2.0,Y,N,N,N,336.39,368.6,378.84,Fuga sequi voluptates quasi minima excepturi. Eaque neque doloribus saepe. Repellat aspernatur atque possimus tempora.,Similique officia corrupti porro enim amet officiis. Recusandae saepe incidunt eius. Officiis odit labore numquam corporis commodi et.,Area 3,https://picsum.photos/59/194,Type B,41x19x71,29.0,1.47,N,MAT-4242,N,N,Type 2,9.76,joao-vitor20@example.net,1.8,N,Sweden,Y,2024-07-03
BF032,Brake Fluid,LOC-9086,EA,A,Y,Allowed,Urgent,162.37,178.61,146.13,2.0,MAT-894163,Brake Fluid,MAN-6566,CUS-788928,EV,Full,6.0,1.1,Asia,N,N,N,N,N,Model-4185,N,N,Category B,Type 1,REP-7672,9.7,44x59x18,N,Y,Y,2.0,N,N,Nemo possimus iste a sequi nostrum vitae. Recusandae neque labore fugit.,Dante Silva,Y,N,76.0,Class C,Type A,9.0,1.0,Dept B,22.0,363.0,N,4.0,N,N,N,N,13.29,420.49,74.96,Pariatur molestiae accusantium ipsa nam. Accusamus repudiandae sapiente autem nesciunt nam officia.,Expedita placeat reprehenderit voluptatibus deleniti aspernatur porro. Pariatur quis facilis praesentium non atque. Dicta facere minus sit veniam magni. Et accusantium repellendus nihil expedita.,Area 3,https://picsum.photos/872/276,Type C,21x35x21,58.0,1.88,Y,MAT-5232,Y,Y,Type 1,4.49,flopes@example.org,1.01,Y,China,N,2024-02-21
PSF033,Power Steering Fluid (if applicable),LOC-5536,SET,A,Y,Restricted,Urgent,54.85,60.34,49.36,3.0,MAT-340853,Power Steering Fluid (if applicable),MAN-4602,CUS-937860,Sedan,Partial,4.0,5.08,North America,N,N,N,Y,Y,Model-6540,Y,Y,Category B,Type 1,REP-3010,3.25,32x39x98,N,N,N,0.49,N,Y,Deserunt odio corrupti. Fugiat voluptates dolorum explicabo repudiandae.,Francisco da Rocha,N,N,38.0,Class C,Type C,2.0,21.0,Dept A,9.0,480.0,N,4.0,N,N,Y,Y,392.29,455.01,214.34,"Illo animi ad minus facere impedit cum.
Sed laboriosam modi veniam reprehenderit esse ab dicta. Repudiandae fugit recusandae ab.","Non unde veniam. Quibusdam impedit ullam nobis.
Unde alias ab a vel cumque. Distinctio incidunt iste error. Sunt numquam voluptates vitae neque nobis. Ut autem unde necessitatibus et.",Area 2,https://placekitten.com/393/875,Type B,70x59x35,56.0,0.89,N,MAT-7644,Y,N,Type 2,10.22,nascimentoalicia@example.com,1.23,N,Sweden,N,2024-01-27
CAF034,Cabin Air Filter,LOC-3011,SET,C,N,Restricted,Urgent,54.82,60.3,49.34,1.0,MAT-365416,Cabin Air Filter,MAN-7737,CUS-254409,SUV,Partial,7.0,5.69,Europe,N,N,N,N,N,Model-5102,Y,Y,Category C,Type 1,REP-8620,18.0,77x86x53,N,Y,N,0.79,Y,N,Quidem beatae non voluptatibus ad. Velit veritatis vel assumenda voluptatum. Eaque vero fugit.,Enzo Gabriel Castro,Y,N,84.0,Class A,Type C,7.0,19.0,Dept A,62.0,312.0,N,1.0,N,N,N,Y,162.77,186.48,237.43,"Quisquam sunt unde quaerat hic ea quo. Placeat fugiat hic eligendi odio aut. Aut maxime laborum hic.
Ea impedit aperiam. Perspiciatis nihil harum magnam saepe.",Eveniet delectus quo occaecati. Provident debitis praesentium soluta exercitationem aspernatur earum earum. Cumque nihil dolorum illum dicta ut dicta.,Area 2,https://placekitten.com/535/1007,Type C,92x74x38,48.0,0.9,Y,MAT-8669,Y,N,Type 2,11.69,bduarte@example.com,0.7,Y,Sweden,N,2024-04-24
FB035,Fuse Box,LOC-2889,PCS,B,N,Allowed,Urgent,268.19,295.01,241.37,1.0,MAT-650752,Fuse Box,MAN-3944,CUS-380749,Sedan,Full,2.0,3.26,Asia,Y,Y,N,N,Y,Model-4084,N,Y,Category B,Type 1,REP-9785,16.42,73x44x81,Y,Y,N,0.79,N,N,Deserunt assumenda officia. Labore suscipit laudantium cumque dignissimos porro laborum earum.,Srta. Ana Lívia da Luz,Y,Y,94.0,Class C,Type B,3.0,27.0,Dept A,75.0,85.0,N,4.0,Y,N,Y,N,237.78,453.19,13.05,"Reprehenderit quisquam eius consequatur. Explicabo expedita alias necessitatibus cumque.
Nemo quod voluptatem pariatur reiciendis dolorem amet. Quos ad dolores culpa officiis odit.",Reiciendis eligendi exercitationem soluta. Aliquam maxime temporibus a.,Area 3,https://picsum.photos/424/880,Type C,69x67x93,6.0,1.75,Y,MAT-2179,Y,Y,Type 3,3.13,maria-vitoria49@example.com,1.27,N,China,Y,2024-06-12
AB036,12V Auxiliary Battery,LOC-3387,EA,C,Y,Allowed,Standard,149.53,164.48,134.58,1.0,MAT-190771,12V Auxiliary Battery,MAN-7567,CUS-899354,EV,Partial,8.0,4.55,Europe,N,N,Y,Y,N,Model-6976,Y,N,Category A,Type 3,REP-3423,17.59,59x75x80,N,N,Y,0.57,Y,Y,Praesentium quo ullam aspernatur. Ducimus dolorem in similique tempore.,José Pedro Macedo,N,Y,57.0,Class B,Type B,5.0,25.0,Dept B,12.0,129.0,N,4.0,Y,Y,Y,Y,382.5,288.21,327.54,"Eligendi fuga reiciendis reiciendis deleniti blanditiis neque. Blanditiis ipsam vel fugit provident veniam.
Eos beatae asperiores ipsam cum. Rem adipisci qui totam. Sunt sequi nisi soluta.","Cum amet voluptatum sapiente. Odio totam provident quod voluptatibus.
Harum ducimus sit voluptas quo. Libero repudiandae cumque dolores totam quae. Eligendi doloremque id.",Area 3,https://picsum.photos/1008/996,Type A,78x63x76,22.0,0.2,Y,MAT-2574,N,Y,Type 3,0.23,enzo-gabrielda-luz@example.net,0.87,Y,Germany,Y,2024-06-07
